,valid_miles,transport_type,weight,pickup_date,origin_kma,destination_kma,predicted_rate,predicted_rate_2
0,744.4786,MKPFX,32616.95,2022-09-22 08:42:00,QWBPO,FKQGG,5.157925657750205,5.157925657750205
1,748.715,MKPFX,39950.0,2022-09-22 08:42:00,LFUHN,EKGTE,2.014397843329845,2.0396
2,650.192,MKPFX,39950.0,2022-09-22 08:42:00,QGHCU,EKGTE,2.73669419086354,2.73669419086354
3,650.192,MKPFX,39950.0,2022-09-22 08:42:00,QGHCU,EKGTE,2.73669419086354,2.73669419086354
4,650.192,MKPFX,39950.0,2022-09-22 08:42:00,QGHCU,EKGTE,2.73669419086354,2.73669419086354
5,1793.6996,MKPFX,6157.55,2022-09-22 08:42:00,AWWEE,NTODX,4.510059364429588,4.1038
6,885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,6.270158222377747,6.270158222377747
7,885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,6.270158222377747,6.270158222377747
8,885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,6.270158222377747,6.270158222377747
9,885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,6.270158222377747,6.270158222377747
10,885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,6.270158222377747,6.270158222377747
11,2310.9231,GJROY,39950.0,2022-09-22 08:42:00,RONUZ,OQOLJ,5.189470697152776,5.189470697152776
12,2310.9231,GJROY,39950.0,2022-09-22 08:42:00,RONUZ,OQOLJ,5.189470697152776,5.189470697152776
13,2344.3249,GJROY,39950.0,2022-09-22 08:42:00,RONUZ,OQOLJ,5.502031617206585,5.502031617206585
14,1073.6095,MKPFX,40425.0,2022-09-22 08:42:00,OMSVL,CTJQI,4.4320622690804585,4.4320622690804585
15,1073.6095,MKPFX,40425.0,2022-09-22 08:42:00,OMSVL,CTJQI,4.4320622690804585,4.4320622690804585
16,914.1838,MKPFX,38050.0,2022-09-22 08:42:00,GFKMC,ZSZDM,6.818695456204041,6.818695456204041
17,836.38,MKPFX,39950.0,2022-09-22 08:42:00,OQOLJ,RCDSS,2.5010060783829973,2.4807
18,748.715,MKPFX,39950.0,2022-09-22 08:42:00,LFUHN,EKGTE,2.014397843329845,2.0396
